位置,编号,姓名,身高,身高米,体重磅,体重kg,出生日期 (年–月–日),来自
中/前锋,24,布鲁诺·费南多,6英尺9英寸,2.06,240磅,109,1998–08–15,马里兰大学*
后卫,0,布兰登·古德温 (TW),6英尺0英寸,1.83,180磅,82,1995–10–02,佛罗里达海湾大学*
后卫,0,杰夫·蒂格,6英尺3英寸,1.91,195磅,88,1988–06–10,维克森林大学*
中锋,17,克林特·卡培拉,6英尺10英寸,2.08,240磅,109,1994–05–18,[[沙隆驼鹿]]
中/前锋,7,斯科尔·拉比西埃,6英尺10英寸,2.08,235磅,107,1996–03–18,肯塔基大学*
中锋,14,德韦恩·戴德蒙,7英尺0英寸,2.13,245磅,111,1989–08–12,南加州大学*
摇摆人,7,德韦恩·培根,6英尺7英寸,2.01,221磅,100,1995–08–30,佛罗里达州立大学
摇摆人,5,尼古拉·巴图姆,6英尺8英寸,2.03,200磅,91,1988–12–14,[[勒芒萨尔特]]
中锋,8,俾斯麦·比永博,6英尺9英寸,2.06,255磅,116,1992–08–28,[[富恩拉布拉达]]
前锋,0,迈尔斯·布里奇斯,6英尺7英寸,2.01,225磅,102,1998–03–21,密歇根州立大学
后卫,4,德文特·葛拉汉,6英尺2英寸,1.88,185磅,84,1995–02–22,堪萨斯大学
中锋,9,吉列尔莫·埃尔南戈麦斯,6英尺11英寸,2.11,249磅,113,1994–05–27,皇家马德里
前锋,14,迈克尔·基德-吉尔克里斯特,6英尺7英寸,2.01,232磅,105,1993–09–26,杜克大学
后卫,1,马利克·蒙克,6英尺3英寸,1.91,200磅,91,1998–02–04,肯塔基大学
前锋,2,马文·威廉姆斯,6英尺9英寸,2.06,237磅,108,1986–06–19,北卡罗来纳大学教堂山分校
中/前锋,40,科迪·泽勒,7英尺0英寸,2.13,240磅,109,1992–10–05,印地安那大学
后卫,3,特里·罗齐尔,6英尺1英寸,1.85,190磅,86,1994–03–17,刘易斯维尔大学
后卫,6,贾伦·麦丹尼尔斯,6英尺10英寸,2.08,205磅,93,1998–01–31,圣迭戈州立大学
前锋,10,卡列·马丁,6英尺5英寸,1.96,205磅,93,1995–09–28,内华达大学
前锋,11,科迪·马丁,6英尺5英寸,1.96,205磅,93,1995–09–28,内华达大学
后卫,23,科比·西蒙斯 (TW),6英尺5英寸,1.96,180磅,82,1997–07–04,亚利桑那大学
前锋,25,PJ·华盛顿,6英尺7英寸,2.01,230磅,104,1998–08–23,肯塔基大学
前锋,26,雷·斯伯丁,6英尺9英寸,2.06,225磅,102,1997–03–11,刘易斯维尔大学
中/前锋,13,巴姆·阿德巴约,6英尺10英寸,2.08,255磅,116,1997–07–18,肯塔基大学
后卫,7,戈兰·德拉季奇,6英尺3英寸,1.91,190磅,86,1986–05–06,斯罗德曼尼亚
后卫,14,泰勒·赫洛,6英尺5英寸,1.96,195磅,88,2000–01–20,肯塔基大学
前锋,40,乌杜尼斯·哈斯勒姆,6英尺8英寸,2.03,235磅,107,1980–06–09,佛罗里达大学
中/前锋,8,梅耶斯·伦纳德,7英尺0英寸,2.13,260磅,118,1992–02–27,伊利诺伊大学
摇摆人,5,德里克·琼斯,6英尺7英寸,2.01,200磅,91,1997–02–15,内华达大学拉斯维加斯分校
后卫,15,达瑞尔·梅肯 (TW),6英尺2英寸,1.88,185磅,84,1995–11–29,乔治亚大学
前锋,30,克里斯·席佛 (TW),6英尺8英寸,2.03,234磅,106,1996–09–19,北卡罗来纳大学教堂山分校
前锋,9,凯利·奥利尼克,7英尺0英寸,2.13,245磅,111,1991–04–19,贡扎加大学
前锋,55,邓肯·罗宾逊,6英尺8英寸,2.03,210磅,95,1994–04–22,密歇根大学
摇摆人,4,KZ·奥克帕拉,6英尺8英寸,2.03,215磅,98,1999–04–28,斯坦佛大学
后卫,25,肯德里克·纳恩,6英尺2英寸,1.88,190磅,86,1995–08–03,奥克兰大学
摇摆人,22,吉米·巴特勒,6英尺8英寸,2.03,232磅,105,1989–09–14,马凯特大学
摇摆人,−,安德烈·伊格达拉,6英尺6英寸,1.98,215磅,98,1984–01–28,亚利桑那大学
前锋,0,阿隆·戈登,6英尺9英寸,2.06,220磅,100,1995–09–16,亚利桑那大学
后卫,14,D·J·奥古斯汀,6英尺0英寸,1.83,183磅,83,1987–11–10,德州大学奥斯汀分校
中锋,5,穆罕默德·班巴,7英尺0英寸,2.13,221磅,100,1998–05–12,德州大学奥斯汀分校
中锋,24,肯·伯奇,6英尺9英寸,2.06,220磅,100,1992–09–28,内华达大学拉斯维加斯分校
